+-------------------+----------+-------------+---------------------------+--------------+---------------+-----------+------------+-----------------------+
| id_periodo        | ticker   | flag_subida | d                         | fecha_inicio | precio_inicio | fecha_fin | precio_fin | diferencia_porcentaje |
| 20060901-20070601 | ADV.MC   |           1 | burbuja_inmo_0607         |     20060901 |       18.2896 |  20070601 |    24.7558 |          35.354518415 |
| 20060901-20070601 | XCOP.MC  |           1 | burbuja_inmo_0607         |     20060901 |        8.3900 |  20070601 |    11.3400 |          35.160905840 |
| 20060901-20070601 | XTZA.MC  |           1 | burbuja_inmo_0607         |     20060901 |        5.3500 |  20070601 |     7.1000 |          32.710280374 |
| 20060901-20070601 | ITX.MC   |           1 | burbuja_inmo_0607         |     20060901 |        7.0700 |  20070601 |     9.3820 |          32.701555870 |
| 20060901-20070601 | PRS.MC   |           1 | burbuja_inmo_0607         |     20060901 |      386.7000 |  20070601 |   509.1000 |          31.652443755 |
| 20060901-20070601 | ACX.MC   |           1 | burbuja_inmo_0607         |     20060901 |       14.7600 |  20070601 |    19.2000 |          30.081300813 |
| 20060901-20070601 | BKT.MC   |           1 | burbuja_inmo_0607         |     20060901 |        6.6531 |  20070601 |     8.6346 |          29.783108626 |
| 20060901-20070601 | MEL.MC   |           1 | burbuja_inmo_0607         |     20060901 |       13.9100 |  20070601 |    17.8800 |          28.540618260 |
| 20060901-20070601 | IBG.MC   |           1 | burbuja_inmo_0607         |     20060901 |       17.1800 |  20070601 |    22.0000 |          28.055878929 |
| 20060901-20070601 | TEF.MC   |           1 | burbuja_inmo_0607         |     20060901 |       13.2878 |  20070601 |    16.8767 |          27.008985686 |
| 20060901-20070601 | XBRK.MC  |           1 | burbuja_inmo_0607         |     20060901 |        5.0500 |  20070601 |     6.3800 |          26.336633663 |
| 20060901-20070601 | ABE.MC   |           1 | burbuja_inmo_0607         |     20060901 |       18.6381 |  20070601 |    23.4857 |          26.009088909 |
| 20060901-20070601 | XELTB.MC |           1 | burbuja_inmo_0607         |     20060901 |        7.8600 |  20070601 |     9.9000 |          25.954198473 |
| 20060901-20070601 | NAT.MC   |           1 | burbuja_inmo_0607         |     20060901 |        8.3000 |  20070601 |    10.3900 |          25.180722892 |
| 20060901-20070601 | AMP.MC   |           1 | burbuja_inmo_0607         |     20060901 |        5.8191 |  20070601 |     7.2831 |          25.158529670 |
| 20060901-20070601 | FER.MC   |           1 | burbuja_inmo_0607         |     20060901 |       10.3600 |  20070601 |    12.9300 |          24.806949807 |
| 20060901-20070601 | REP.MC   |           1 | burbuja_inmo_0607         |     20060901 |       22.3900 |  20070601 |    27.4800 |          22.733363109 |
| 20060901-20070601 | SNC.MC   |           1 | burbuja_inmo_0607         |     20060901 |        1.6500 |  20070601 |     1.9988 |          21.139393939 |
| 20060901-20070601 | TRG.MC   |           1 | burbuja_inmo_0607         |     20060901 |        1.0044 |  20070601 |     1.2144 |          20.908004779 |
| 20060901-20070601 | MAP.MC   |           1 | burbuja_inmo_0607         |     20060901 |        3.1602 |  20070601 |     3.8014 |          20.289855072 |
| 20060901-20070601 | BDL.MC   |           1 | burbuja_inmo_0607         |     20060901 |       41.4000 |  20070601 |    49.7500 |          20.169082126 |
| 20060901-20070601 | OLE.MC   |           1 | burbuja_inmo_0607         |     20060901 |        6.7886 |  20070601 |     8.1543 |          20.117550010 |
| 20060901-20070601 | RDM.MC   |           1 | burbuja_inmo_0607         |     20060901 |        0.5500 |  20070601 |     0.6600 |          20.000000000 |
| 20060901-20070601 | ENO.MC   |           1 | burbuja_inmo_0607         |     20060901 |       13.1000 |  20070601 |    15.7000 |          19.847328244 |
| 20060901-20070601 | SAN.MC   |           1 | burbuja_inmo_0607         |     20060901 |       10.9278 |  20070601 |    13.0953 |          19.834733432 |
| 20060901-20070601 | REE.MC   |           1 | burbuja_inmo_0607         |     20060901 |        7.6375 |  20070601 |     9.0900 |          19.018003273 |
| 20060901-20070601 | PHM.MC   |           1 | burbuja_inmo_0607         |     20060901 |        5.8400 |  20070601 |     6.9400 |          18.835616438 |
| 20060901-20070601 | FCC.MC   |           1 | burbuja_inmo_0607         |     20060901 |       43.9110 |  20070601 |    52.1510 |          18.765229669 |
| 20060901-20070601 | XELTO.MC |           1 | burbuja_inmo_0607         |     20060901 |        8.6200 |  20070601 |    10.1900 |          18.213457077 |
| 20060901-20070601 | MCM.MC   |           1 | burbuja_inmo_0607         |     20060901 |       22.2200 |  20070601 |    25.8500 |          16.336633663 |
| 20060901-20070601 | IDR.MC   |           1 | burbuja_inmo_0607         |     20060901 |       16.2000 |  20070601 |    18.4800 |          14.074074074 |
| 20080602-20090202 | FUN.MC   |           0 | crisis_financiera_0809    |     20080602 |        4.5400 |  20090202 |     6.2000 |          36.563876652 |
| 20110201-20120502 | GRF.MC   |           0 | crisis_deuda_publica_1112 |     20110201 |        5.5725 |  20120502 |     9.6500 |          73.171825931 |
| 20110201-20120502 | XCMIG.MC |           0 | crisis_deuda_publica_1112 |     20110201 |        6.4998 |  20120502 |     9.9611 |          53.252407766 |
| 20110201-20120502 | XEKT.MC  |           0 | crisis_deuda_publica_1112 |     20110201 |       30.4900 |  20120502 |    46.0000 |          50.869137422 |
